CATEGORY	URI	RELEVANT
PERMISSIONS	http://creativecommons.org/ns#Attribution	NO
PROHIBITIONS	http://creativecommons.org/ns#Attribution	NO
OBLIGATIONS	http://creativecommons.org/ns#Attribution	YES
PERMISSIONS	http://creativecommons.org/ns#CommercialUse	YES
PROHIBITIONS	http://creativecommons.org/ns#CommercialUse	NO
OBLIGATIONS	http://creativecommons.org/ns#CommercialUse	NO
PERMISSIONS	http://creativecommons.org/ns#DerivativeWorks	YES
PROHIBITIONS	http://creativecommons.org/ns#DerivativeWorks	NO
OBLIGATIONS	http://creativecommons.org/ns#DerivativeWorks	NO
PERMISSIONS	http://creativecommons.org/ns#Distribution	YES
PROHIBITIONS	http://creativecommons.org/ns#Distribution	NO
OBLIGATIONS	http://creativecommons.org/ns#Distribution	NO
PERMISSIONS	http://creativecommons.org/ns#Notice	NO
PROHIBITIONS	http://creativecommons.org/ns#Notice	NO
OBLIGATIONS	http://creativecommons.org/ns#Notice	YES
PERMISSIONS	http://creativecommons.org/ns#Reproduction	YES
PROHIBITIONS	http://creativecommons.org/ns#Reproduction	NO
OBLIGATIONS	http://creativecommons.org/ns#Reproduction	NO
PERMISSIONS	http://creativecommons.org/ns#ShareAlike	NO
PROHIBITIONS	http://creativecommons.org/ns#ShareAlike	NO
OBLIGATIONS	http://creativecommons.org/ns#ShareAlike	NO
PERMISSIONS	http://creativecommons.org/ns#Sharing	YES
PROHIBITIONS	http://creativecommons.org/ns#Sharing	NO
OBLIGATIONS	http://creativecommons.org/ns#Sharing	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/acceptTracking	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/acceptTracking	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/acceptTracking	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/aggregate	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/aggregate	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/aggregate	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/annotate	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/annotate	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/annotate	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/anonymize	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/anonymize	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/anonymize	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/archive	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/archive	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/archive	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/attribute	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/attribute	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/attribute	YES
PERMISSIONS	http://www.w3.org/ns/odrl/2/compensate	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/compensate	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/compensate	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/concurrentUse	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/concurrentUse	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/concurrentUse	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/delete	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/delete	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/delete	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/derive	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/derive	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/derive	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/digitize	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/digitize	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/digitize	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/display	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/display	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/display	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/distribute	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/distribute	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/distribute	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/ensureExclusivity	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/ensureExclusivity	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/ensureExclusivity	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/execute	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/execute	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/execute	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/extract	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/extract	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/extract	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/give	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/give	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/give	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/grantUse	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/grantUse	YES
OBLIGATIONS	http://www.w3.org/ns/odrl/2/grantUse	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/include	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/include	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/include	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/index	YES
PROHIBITIONS	http://www.w3.org/ns/odrl/2/index	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/index	NO
PERMISSIONS	http://www.w3.org/ns/odrl/2/inform	NO
PROHIBITIONS	http://www.w3.org/ns/odrl/2/inform	NO
OBLIGATIONS	http://www.w3.org/ns/odrl/2/inform	YES
PERMISSIONS	http://www.w3.org/ns/odrl/2/install	YES
